table_id,row_id,state_or_location_and_institution_full_path,state_or_location_and_institution_level_1,state_or_location_and_institution_level_2,state_or_location_and_institution_level_3,state_or_location_and_institution_hierarchy_depth,field_all_fields,field_education_total,field_education_education_administration,field_education_education_research,field_education_teacher_education,field_education_teaching_fields,field_education_other_education,field_humanities_and_arts_total,field_humanities_and_arts_foreign_languages_and_literature,field_humanities_and_arts_history,field_humanities_and_arts_letters,field_humanities_and_arts_other_humanities_and_arts,field_othera_total,field_othera_business_management_and_administration,field_othera_communication,field_othera_non_s_e_fields_nec,field_othera_unknown_field
948,r001,All institutions,All institutions,,,1,54664,4823,1023,2405,112,908,375,5290,624,1066,1465,2135,3113,1522,626,965,0
948,r002,All institutions -> Alabama,All institutions,Alabama,,2,707,115,35,35,18,22,5,28,3,11,11,3,49,22,12,15,0
948,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,284,57,19,15,11,7,5,14,0,6,7,1,12,7,0,5,0
948,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,127,10,1,1,5,3,0,0,0,0,0,0,1,0,0,1,0
948,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,199,35,11,11,2,11,0,14,3,5,4,2,34,13,12,9,0
948,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,32,9,0,8,0,1,0,0,0,0,0,0,2,2,0,0,0
948,r011,All institutions -> Alaska,All institutions,Alaska,,2,52,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
948,r012,"All institutions -> Alaska -> U. Alaska, Anchorage",All institutions,Alaska,"U. Alaska, Anchorage",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r013,"All institutions -> Alaska -> U. Alaska, Fairbanks",All institutions,Alaska,"U. Alaska, Fairbanks",3,49,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
948,r014,All institutions -> Arizona,All institutions,Arizona,,2,801,75,4,44,0,18,9,91,12,19,14,46,44,23,9,12,0
948,r015,All institutions -> Arizona -> Arizona State U.,All institutions,Arizona,Arizona State U.,3,369,23,0,18,0,4,1,60,5,10,8,37,26,12,5,9,0
948,r016,All institutions -> Arizona -> Northern Arizona U.,All institutions,Arizona,Northern Arizona U.,3,20,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r017,All institutions -> Arizona -> Prescott C.,All institutions,Arizona,Prescott C.,3,11,7,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0
948,r018,All institutions -> Arizona -> U. Arizona,All institutions,Arizona,U. Arizona,3,401,42,4,23,0,14,1,31,7,9,6,9,17,11,4,2,0
948,r019,All institutions -> Arkansas,All institutions,Arkansas,,2,202,14,0,7,2,5,0,23,2,4,13,4,11,9,0,2,0
948,r020,"All institutions -> Arkansas -> Arkansas State U., Jonesboro",All institutions,Arkansas,"Arkansas State U., Jonesboro",3,14,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
948,r021,All institutions -> Arkansas -> U. Arkansas for Medical Sciences,All institutions,Arkansas,U. Arkansas for Medical Sciences,3,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
948,r022,"All institutions -> Arkansas -> U. Arkansas, Fayetteville",All institutions,Arkansas,"U. Arkansas, Fayetteville",3,148,11,0,7,2,2,0,21,2,4,13,2,11,9,0,2,0
948,r023,"All institutions -> Arkansas -> U. Arkansas, Little Rock",All institutions,Arkansas,"U. Arkansas, Little Rock",3,12,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
948,r024,All institutions -> California,All institutions,California,,2,6105,312,93,109,1,34,75,624,80,93,139,312,250,128,53,69,0
948,r025,"All institutions -> California -> Alliant International U., Alhambra",All institutions,California,"Alliant International U., Alhambra",3,83,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r026,All institutions -> California -> Azusa Pacific U.,All institutions,California,Azusa Pacific U.,3,14,9,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0
948,r027,All institutions -> California -> Biola U.,All institutions,California,Biola U.,3,17,4,1,1,0,0,2,4,0,0,0,4,0,0,0,0,0
948,r028,All institutions -> California -> California Institute of Integral Studies,All institutions,California,California Institute of Integral Studies,3,35,0,0,0,0,0,0,14,0,0,0,14,1,1,0,0,0
948,r029,All institutions -> California -> California Institute of Technology,All institutions,California,California Institute of Technology,3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,r030,All institutions -> California -> Chapman U.,All institutions,California,Chapman U.,3,18,16,7,4,0,1,4,0,0,0,0,0,0,0,0,0,0
948,r031,"All institutions -> California -> City of Hope, Irell and Manella Graduate School of Biological Sciences",All institutions,California,"City of Hope, Irell and Manella Graduate School of Biological Sciences",3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
