table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_total_with_definite_plana_total,field_total_with_definite_plana_male,field_total_with_definite_plana_female,field_employment_total,field_employment_male,field_employment_female,field_postdoctoral_study_total,field_postdoctoral_study_male,field_postdoctoral_study_female
9493,r001,Doctorate recipients reporting annual salary,Doctorate recipients reporting annual salary,,,1,70000,76000,66000,96000,107611,85000,55000,55000,54760
9493,r002,Doctorate recipients reporting annual salary -> Science and engineering ,Doctorate recipients reporting annual salary,Science and engineering ,,2,72000,80000,66000,105000,115000,93000,55000,55000,54540
9493,r003,Doctorate recipients reporting annual salary -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting annual salary,Science and engineering ,Agricultural sciences and natural resources,3,60000,60000,62750,84000,90000,78000,53000,53750,52000
9493,r004,Doctorate recipients reporting annual salary -> Science and engineering  -> Biological and biomedical sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Biological and biomedical sciences  ,3,60000,60000,60000,100000,100000,99000,54000,54000,54000
9493,r005,Doctorate recipients reporting annual salary -> Science and engineering  -> Computer and information sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Computer and information sciences  ,3,140000,141000,125000,150000,155000,150000,70000,70000,75000
9493,r006,Doctorate recipients reporting annual salary -> Science and engineering  -> Engineering  ,Doctorate recipients reporting annual salary,Science and engineering ,Engineering  ,3,98000,100000,90000,118000,120000,112500,55000,55000,57000
9493,r007,"Doctorate recipients reporting annual salary -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences  ",Doctorate recipients reporting annual salary,Science and engineering ,"Geosciences, atmospheric, and ocean sciences  ",3,64000,63000,65000,80000,84250,78000,61000,60000,62000
9493,r008,Doctorate recipients reporting annual salary -> Science and engineering  -> Health sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Health sciences  ,3,75000,75000,75000,90000,100000,86000,55000,56000,55000
9493,r009,Doctorate recipients reporting annual salary -> Science and engineering  -> Mathematics and statistics  ,Doctorate recipients reporting annual salary,Science and engineering ,Mathematics and statistics  ,3,75000,74000,76000,120000,120000,120000,65000,65000,62000
9493,r010,Doctorate recipients reporting annual salary -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting annual salary,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,3,99000,112000,75258,130000,136000,105000,58000,60000,55000
9493,r011,Doctorate recipients reporting annual salary -> Science and engineering  -> Physical sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Physical sciences  ,3,75000,75000,74177,110000,115000,104500,56550,56000,58000
9493,r012,Doctorate recipients reporting annual salary -> Science and engineering  -> Psychology  ,Doctorate recipients reporting annual salary,Science and engineering ,Psychology  ,3,55000,56400,55000,73000,77500,72000,53000,53760,53000
9493,r013,Doctorate recipients reporting annual salary -> Science and engineering  -> Social sciences  ,Doctorate recipients reporting annual salary,Science and engineering ,Social sciences  ,3,71250,80000,68000,84000,95000,78000,57300,60000,55000
9493,r014,Doctorate recipients reporting annual salary -> Non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,,2,67000,68000,66500,70000,71900,70000,55000,54835,55000
9493,r015,Doctorate recipients reporting annual salary -> Non-science and engineering -> Business,Doctorate recipients reporting annual salary,Non-science and engineering,Business,3,130000,125000,130000,134000,133000,134000,67964,62000,74000
9493,r016,Doctorate recipients reporting annual salary -> Non-science and engineering -> Education  ,Doctorate recipients reporting annual salary,Non-science and engineering,Education  ,3,70000,73000,70000,73415,75000,72000,55000,55000,55000
9493,r017,Doctorate recipients reporting annual salary -> Non-science and engineering -> Humanities,Doctorate recipients reporting annual salary,Non-science and engineering,Humanities,3,55000,55000,56000,57850,57000,58000,52000,51728,52000
9493,r018,Doctorate recipients reporting annual salary -> Non-science and engineering -> Visual and performing arts  ,Doctorate recipients reporting annual salary,Non-science and engineering,Visual and performing arts  ,3,53350,52000,54540,53350,53350,53500,53500,50000,55000
9493,r019,Doctorate recipients reporting annual salary -> Non-science and engineering -> Other non-science and engineering,Doctorate recipients reporting annual salary,Non-science and engineering,Other non-science and engineering,3,65400,68000,65000,70000,71000,70000,55000,55000,55000
