table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9593,r001,Male doctorate recipients,Male doctorate recipients,,,,1,27362,28326,29008,29532,29572,29446,29742,30111,29846,28056,30522
9593,r002,Male doctorate recipients -> U.S. citizen or permanent resident,Male doctorate recipients,U.S. citizen or permanent resident,,,2,16072,16550,16660,17218,17530,17565,17312,17263,16770,15313,16798
9593,r003,Male doctorate recipients -> Temporary visa holder,Male doctorate recipients,Temporary visa holder,,,2,9556,10103,10204,10395,10671,10601,11308,11767,11868,11476,12366
9593,r004,Male doctorate recipients -> Unknown citizenship,Male doctorate recipients,Unknown citizenship,,,2,1734,1673,2144,1919,1371,1280,1122,1081,1208,1267,1358
9593,r005,Male doctorate recipients -> Hispanic or Latino,Male doctorate recipients,Hispanic or Latino,,,2,1549,1523,1588,1758,1766,1805,1865,2011,2047,2019,2292
9593,r006,Male doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,Male doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,948,905,999,1119,1134,1152,1196,1302,1266,1289,1517
9593,r007,Male doctorate recipients -> Hispanic or Latino -> Temporary visa holder,Male doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,599,612,580,634,630,634,666,706,778,727,773
9593,r008,Male doctorate recipients -> Hispanic or Latino -> Unknown citizenship,Male doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,2,6,9,5,2,19,3,3,3,3,2
9593,r009,Male doctorate recipients -> Not Hispanic or Latino,Male doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
9593,r010,Male doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,Male doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,42,62,54,64,63,49,44,58,39,40,44
