table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9601,r001,Doctorate recipients reporting community college attendance,Doctorate recipients reporting community college attendance,,,,1,20.9,19.4,23.3,22.5,9.9,13.1,20.6,33.5,14.5,14.6,17.0,31.4,19.8,27.1,17.5,33.5,25.8,19.4,26.9
9601,r002,Doctorate recipients reporting community college attendance -> Sex,Doctorate recipients reporting community college attendance,Sex,,,2,,,,,,,,,,,,,,,,,,,
9601,r003,Doctorate recipients reporting community college attendance -> Sex -> Male,Doctorate recipients reporting community college attendance,Sex,Male,,3,18.3,17.0,23.7,22.0,9.5,12.4,20.7,27.5,14.7,13.4,16.5,36.1,17.7,25.7,16.0,32.5,26.8,19.6,26.1
9601,r004,Doctorate recipients reporting community college attendance -> Sex -> Female,Doctorate recipients reporting community college attendance,Sex,Female,,3,23.9,22.5,23.0,22.9,11.2,15.0,20.6,36.2,13.9,16.8,18.1,29.8,21.8,28.0,19.3,33.9,24.6,19.3,27.4
9601,r005,Doctorate recipients reporting community college attendance -> Citizenship status,Doctorate recipients reporting community college attendance,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
9601,r006,Doctorate recipients reporting community college attendance -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting community college attendance,Citizenship status,U.S. citizen or permanent resident,,3,30.4,29.5,35.8,28.9,22.3,26.1,28.9,42.1,28.5,27.8,26.0,33.7,28.2,33.2,30.5,37.2,30.2,23.9,35.3
9601,r007,Doctorate recipients reporting community college attendance -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting community college attendance,Citizenship status,Temporary visa holder,,3,3.9,3.6,4.3,4.0,2.5,3.2,4.9,7.2,2.1,2.9,3.9,8.4,3.4,5.7,4.6,,4.2,,7.3
9601,r008,Doctorate recipients reporting community college attendance -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting community college attendance,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
9601,r009,Doctorate recipients reporting community college attendance -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting community college attendance,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,36.5,35.0,23.2,33.0,23.8,27.3,37.3,50.6,45.5,34.6,36.6,37.0,39.2,41.0,37.8,44.8,35.7,37.9,45.8
9601,r010,Doctorate recipients reporting community college attendance -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting community college attendance,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
