table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_r_d_performance_total,field_worldwide_r_d_performance_paid_for_by_the_company,field_worldwide_r_d_performance_paid_for_by_others,field_domestic_r_d_performance_total,field_domestic_r_d_performance_paid_for_by_the_company,field_domestic_r_d_performance_paid_for_by_others,field_foreign_r_d_performance_total,field_foreign_r_d_performance_paid_for_by_the_company,field_foreign_r_d_performance_paid_for_by_others
9641,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['737,911', '  ']","['648,075', '  ']","['89,837', '  ']","['602,499', '  ']","['527,804', '  ']","['74,695', '  ']","['135,412', '  ']","['120,270', '  ']","['15,142', 'i ']"
9641,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['404,449', '  ']","['364,349', '  ']","['40,100', '  ']","['326,060', '  ']","['287,666', '  ']","['38,394', '  ']","['78,389', '  ']","['76,683', '  ']","['1,706', '  ']"
9641,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['6,456', '  ']","['6,151', '  ']","['305', '  ']","['5,266', '  ']","['4,963 - 4,968', '  ']","['297 - 302', '  ']","['1,190', '  ']","['1,182 - 1,187', '  ']","['3 - 8', '  ']"
9641,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['2,139', '  ']","['2,121', '  ']","['19', '  ']","['1,247', '  ']","['1,228', '  ']","['19', '  ']","['893', '  ']","['893', '  ']","['0', '  ']"
9641,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['997', '  ']","['987', '  ']","['11', '  ']","['829', '  ']","['818', '  ']","['11', '  ']","['169', '  ']","['169', '  ']","['0', '  ']"
9641,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['447', '  ']","['437 - 445', '  ']","['2 - 10', '  ']","['444', '  ']","['433 - 442', '  ']","['2 - 10', '  ']","['4', '  ']","['4', '  ']","['0', '  ']"
9641,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,206', '  ']","['1,206', '  ']","['*', 'i ']","['1,139', '  ']","['1,139', '  ']","['0', '  ']","['67', '  ']","['67', '  ']","['*', 'i ']"
9641,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['231', '  ']","['223 - 232', '  ']","['0 - 7', '  ']","['204', 'i ']","['196 - 205', 'i ']","['0 - 7', '  ']","['27', '  ']","['27', '  ']","['0', '  ']"
9641,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,131', '  ']","['1,127', '  ']","['5', '  ']","['957', '  ']","['952', '  ']","['5', '  ']","['175', '  ']","['175', '  ']","['0', '  ']"
9641,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['133,231', '  ']","['120,516', '  ']","['12,715', '  ']","['109,490', '  ']","['97,097', '  ']","['12,393', '  ']","['23,741', '  ']","['23,419', '  ']","['322', '  ']"
