table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
9648,r001,All business activities,All business activities,,1,21100–81000,"['17,410,590', '  ']","['13,097,756', '  ']","['4,312,834', '  ']"
9648,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['189,343', '  ']","['118,647', '  ']","['70,696', '  ']"
9648,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['85,707', 'i ']","['37,647', 'i ']","['48,060', 'i ']"
9648,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['45,307', '  ']","['30,030', '  ']","['15,276', '  ']"
9648,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['344,086', '  ']","['340,381', '  ']","['3,705', '  ']"
9648,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['84,600', '  ']","['80,164', '  ']","['4,437', '  ']"
9648,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['919,547', '  ']","['676,826', '  ']","['242,721', '  ']"
9648,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['206,419', '  ']","['141,303', '  ']","['65,115', '  ']"
9648,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['59,978', '  ']","['22,846', '  ']","['37,132', '  ']"
9648,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['91,292', '  ']","['64,054', '  ']","['27,238', '  ']"
9648,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['68,558', '  ']","['63,266', '  ']","['5,291', '  ']"
9648,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['151,395', '  ']","['118,821', '  ']","['32,573', '  ']"
9648,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['35,800', '  ']","['30,837', '  ']","['4,963', '  ']"
9648,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['588,711', '  ']","['367,747', '  ']","['220,963', '  ']"
9648,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['24,933', '  ']","['20,762', '  ']","['4,171', '  ']"
9648,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['14,687', '  ']","['11,595', '  ']","['3,091', '  ']"
9648,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['331,658', '  ']","['229,364', '  ']","['102,294', '  ']"
9648,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['133,227', '  ']","['76,117', '  ']","['57,110', '  ']"
9648,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['78,109', '  ']","['68,671', '  ']","['9,438', '  ']"
9648,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['839,753', '  ']","['615,406', '  ']","['224,347', '  ']"
9648,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['19,811', '  ']","['10,883', '  ']","['8,928', '  ']"
9648,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['155,385', '  ']","['118,135', '  ']","['37,250', '  ']"
9648,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['181,410', '  ']","['103,084', '  ']","['78,326', '  ']"
9648,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['126,384', '  ']","['80,271', '  ']","['46,113', '  ']"
9648,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['271,663', '  ']","['202,034', '  ']","['69,629', '  ']"
9648,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['41,741', '  ']","['26,769', '  ']","['14,972', '  ']"
9648,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['44,069', '  ']","['36,887', '  ']","['7,183', '  ']"
9648,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['137,595', '  ']","['115,715', '  ']","['21,880', '  ']"
9648,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['484,400', '  ']","['408,141', 'r ']","['76,258', '  ']"
