table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
9649,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['602,499', '  ']","['329,637', '  ']","['61,476', '  ']","['26,923', '  ']","['9,205', '  ']","['41,249', '  ']","['8,911', '  ']","['21,180', '  ']","['3,731', '  ']","['21,489', '  ']","['78,698', '  ']"
9649,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,060', '  ']","['171,569', '  ']","['18,953', '  ']","['13,858', '  ']","['3,806', '  ']","['32,689', '  ']","['4,822', '  ']","['13,686', '  ']","['2,982', '  ']","['11,936', '  ']","['51,759', '  ']"
9649,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,266', '  ']","['3,143', '  ']","['37', '  ']","['201', '  ']","['29', '  ']","['808', '  ']","['72', '  ']","['250', '  ']","['25', '  ']","['152', '  ']","['549', '  ']"
9649,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,247', '  ']","['637', '  ']","['12', '  ']","['66', '  ']","['2', '  ']","['105', '  ']","['5', '  ']","['68', '  ']","['0', '  ']","['54', '  ']","['297', '  ']"
9649,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['829', '  ']","['648', '  ']","['7', '  ']","['17', '  ']","['3', '  ']","['57', '  ']","['5', '  ']","['15', '  ']","['3', '  ']","['16', '  ']","['56', '  ']"
9649,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['444', '  ']","['224', '  ']","['0', '  ']","['34', 'r ']","['5', '  ']","['131', 'r ']","['14', 'r ']","['2', '  ']","['0', '  ']","['1', '  ']","['32', 'r ']"
9649,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['451', '  ']","['3', '  ']","['8', '  ']","['20', '  ']","['542', '  ']","['5', '  ']","['7', '  ']","['2', '  ']","['3', '  ']","['99', 'i ']"
9649,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['204', 'i ']","['144', '  ']","['1', 'i ']","['7', 'i ']","['1', 'i ']","['19', 'i ']","['4', '  ']","['11', 'i ']","['*', 'i ']","['10', 'i ']","['8', 'i ']"
9649,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['957', '  ']","['511', '  ']","['*', 'i ']","['15', '  ']","['1', '  ']","['46', '  ']","['4', '  ']","['43', '  ']","['2', '  ']","['170', '  ']","['165', '  ']"
9649,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['109,490', '  ']","['46,372', '  ']","['6,605', '  ']","['8,162', '  ']","['965', '  ']","['9,963', '  ']","['2,160', '  ']","['4,349', '  ']","['1,485', '  ']","['6,943', '  ']","['22,485', '  ']"
9649,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,713', '  ']","['1,557', '  ']","['35', '  ']","['41', '  ']","['17', '  ']","['314', '  ']","['64', '  ']","['178', '  ']","['39', '  ']","['191', '  ']","['276', '  ']"
