table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_nanotechnology_r_d_total_companiesb_number_,field_nanotechnology_r_d_total_amount,field_nanotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_nanotechnology_r_d_paid_for_by_the_company_amount,field_nanotechnology_r_d_paid_for_by_others_companiesb_number_,field_nanotechnology_r_d_paid_for_by_others_amount
9666,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['31,490', '  ']","['602,499', '  ']","['1,030', 'i ']","['32,718', 'i ']","['930', 'i ']","['31,371', 'i ']","['170', 'i ']","['1,347', 'i ']"
9666,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['15,620', '  ']","['326,060', '  ']","['750', 'i ']","['27,805', 'i ']","['710', 'i ']","['27,096', 'i ']","['70', '  ']","['709', '  ']"
9666,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['890', '  ']","['5,266', '  ']","['10', '  ']","['24', '  ']","['10', '  ']","['23', '  ']","['10', '  ']","['1', '  ']"
9666,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['190', '  ']","['1,247', '  ']","['10', 'i ']","['6', '  ']","['10', 'i ']","['6', '  ']","['0', '  ']","['0', '  ']"
9666,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['310', '  ']","['829', '  ']","['10', '  ']","['1', '  ']","['10', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
9666,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['150', '  ']","['444', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['120', '  ']","['1,139', '  ']","['10', '  ']","['5', 'i ']","['10', '  ']","['5', 'i ']","['0', '  ']","['0', '  ']"
9666,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['170', '  ']","['204', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['110', '  ']","['957', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9666,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,250', '  ']","['109,490', '  ']","['160', 'i ']","['619', '  ']","['160', 'i ']","['586', '  ']","['20', '  ']","['33', '  ']"
9666,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['250', '  ']","['2,713', '  ']","['50', 'i ']","['218', '  ']","['50', 'i ']","['208', '  ']","['10', '  ']","['10', '  ']"
9666,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['130', '  ']","['1,389', 'i ']","['30', 'r ']","['8 - 108', 'i ']","['20', 'r ']","['0 - 98', 'i ']","['10', 'i ']","['9', '  ']"
