table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_r_d_program_size_all_companies,field_r_d_program_size_less_than_1_million,field_r_d_program_size_1_million_9_999_million,field_r_d_program_size_10_million_49_999_million,field_r_d_program_size_50_million_99_999_million,field_r_d_program_size_100_million_or_more
9671,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['527,804', '  ']","['5,164', '  ']","['29,864', '  ']","['41,230', '  ']","['25,406', '  ']","['426,141', '  ']"
9671,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['287,666', '  ']","['2,804', '  ']","['13,865', '  ']","['23,086', '  ']","['16,407', '  ']","['231,504', '  ']"
9671,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,963 - 4,968', '  ']","['165 - 203', '  ']","['645', '  ']","['847', '  ']","['680 - 718', '  ']","['2,588', '  ']"
9671,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,228', '  ']","['25', '  ']","['124', '  ']","['67', '  ']","['179', '  ']","['832', '  ']"
9671,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['818', '  ']","['65', '  ']","['190', '  ']","['288', '  ']","['79', '  ']","['197', '  ']"
9671,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['433 - 442', '  ']","['26', '  ']","['258 - 267', '  ']","['149', '  ']","['0', '  ']","['0', '  ']"
9671,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['21', '  ']","['119', '  ']","['163', '  ']","['147', '  ']","['688', '  ']"
9671,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['196 - 205', 'i ']","['23 - 32', '  ']","['92', '  ']","['82', 'i ']","['0', '  ']","['0', '  ']"
9671,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['952', '  ']","['19', '  ']","['70', '  ']","['170', '  ']","['72', '  ']","['621', '  ']"
9671,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['97,097', '  ']","['325', '  ']","['2,477', '  ']","['8,251', '  ']","['5,507', '  ']","['80,537', '  ']"
9671,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,559', '  ']","['42 - 55', '  ']","['198 - 234', '  ']","['810', '  ']","['556 - 593', '  ']","['871 - 932', '  ']"
9671,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,291 - 1,320', 'i ']","['0 - 34', '  ']","['135 - 171', '  ']","['185 - 210', '  ']","['0', '  ']","['880 - 929', 'i ']"
9671,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['915 - 946', '  ']","['4 - 17', '  ']","['74', '  ']","['113', '  ']","['0', '  ']","['711 - 754', '  ']"
9671,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['88,524', '  ']","['90', '  ']","['1,649', '  ']","['6,708', '  ']","['4,800', '  ']","['75,276', '  ']"
9671,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['2,531', '  ']","['66 - 79', '  ']","['153', '  ']","['155 - 169', '  ']","['0', '  ']","['2,144', '  ']"
9671,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,242 - 1,252', '  ']","['51 - 100', '  ']","['202 - 232', '  ']","['240 - 265', '  ']","['114 - 151', '  ']","['533 - 563', '  ']"
9671,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,961', '  ']","['192', '  ']","['650', '  ']","['1,035', '  ']","['171', '  ']","['913', '  ']"
9671,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,503', '  ']","['95', '  ']","['191', '  ']","['127', '  ']","['109', '  ']","['981', '  ']"
9671,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['887 - 890', '  ']","['55 - 60', '  ']","['181', '  ']","['282', '  ']","['0', '  ']","['368', '  ']"
9671,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,879', '  ']","['474 - 512', '  ']","['1,789', '  ']","['729', '  ']","['514 - 552', '  ']","['334', '  ']"
9671,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,726', '  ']","['369', '  ']","['1,950', '  ']","['2,228', '  ']","['1,472', '  ']","['10,707', '  ']"
9671,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,799 - 1,807', '  ']","['0 - 53', '  ']","['51 - 120', '  ']","['164', '  ']","['50 - 103', '  ']","['1,415 - 1,484', '  ']"
9671,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5,182', '  ']","['6', '  ']","['42', '  ']","['144', '  ']","['278', '  ']","['4,711', '  ']"
9671,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,239 - 1,246', '  ']","['11', '  ']","['56 - 65', '  ']","['166', '  ']","['176', '  ']","['829', '  ']"
9671,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['8,499', '  ']","['298 - 353', '  ']","['1,723 - 1,796', '  ']","['1,754', '  ']","['914 - 969', '  ']","['3,682 - 3,752', '  ']"
9671,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['94,211', '  ']","['346', '  ']","['2,174', '  ']","['3,035', '  ']","['3,020', '  ']","['85,635', '  ']"
9671,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['11,339', '  ']","['59', '  ']","['213 - 278', '  ']","['332 - 386', '  ']","['610 - 677', '  ']","['10,006', '  ']"
9671,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['45,516', '  ']","['75', '  ']","['765', '  ']","['1,044', '  ']","['1,076', '  ']","['42,556', '  ']"
9671,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['10,014', '  ']","['187', '  ']","['769 - 833', '  ']","['1,273', '  ']","['887 - 953', '  ']","['6,832', '  ']"
9671,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['2,837', '  ']","['38', '  ']","['164 - 229', '  ']","['422', '  ']","['338', '  ']","['1,809 - 1,876', '  ']"
9671,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['2,109', '  ']","['38', '  ']","['90', '  ']","['90 - 230', '  ']","['221', '  ']","['1,532 - 1,671', '  ']"
9671,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['5,068', '  ']","['112', '  ']","['450 - 515', '  ']","['621 - 760', '  ']","['328 - 395', '  ']","['3,286 - 3,425', '  ']"
9671,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['27,342', '  ']","['24', 'i ']","['309 - 363', '  ']","['333 - 387', '  ']","['381', '  ']","['26,240', '  ']"
9671,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,007', '  ']","['94', '  ']","['546', '  ']","['1,068', '  ']","['751', '  ']","['2,548', '  ']"
