table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
9681,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['55,500', '  ']","['32,055', '  ']","['20,806', '  ']","['2,450', '  ']","['155', '  ']","['1', '  ']","['34', '  ']"
9681,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['37,305', '  ']","['22,293', '  ']","['13,401', '  ']","['1,454', '  ']","['136', '  ']","['*', '  ']","['21', '  ']"
9681,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['756', 'i ']","['508 - 544', 'i ']","['212', '  ']","['1 - 35', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['57', '  ']","['38', '  ']","['18', '  ']","['0', '  ']","['*', 'r ']","['0', '  ']","['0', '  ']"
9681,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2 - 10', '  ']","['0', '  ']","['2 - 10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['25', '  ']","['25', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0 - 4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 4', '  ']"
9681,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['117', '  ']","['117', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,266', '  ']","['3,842', '  ']","['7,695', '  ']","['723', '  ']","['0', '  ']","['*', '  ']","['6', '  ']"
