table_id,row_id,time_period,reported_research_assistantship_level_1,reported_research_assistantship_level_2,reported_research_assistantship_hierarchy_depth,value
9767,r001,2014,Reported research assistantship,Matches,2,2171
9767,r002,2014,Reported research assistantship,Match rate,2,33.92
9767,r003,2014,Did not report research assistantship,Matches,2,780
9767,r004,2014,Did not report research assistantship,Match rate,2,20.09
9767,r005,2015,Reported research assistantship,Matches,2,2813
9767,r006,2015,Reported research assistantship,Match rate,2,42.58
9767,r007,2015,Did not report research assistantship,Matches,2,1019
9767,r008,2015,Did not report research assistantship,Match rate,2,25.79
9767,r009,2016,Reported research assistantship,Matches,2,2894
9767,r010,2016,Reported research assistantship,Match rate,2,45.52
9767,r011,2016,Did not report research assistantship,Matches,2,1090
9767,r012,2016,Did not report research assistantship,Match rate,2,28.1
9767,r013,2017,Reported research assistantship,Matches,2,3026
9767,r014,2017,Reported research assistantship,Match rate,2,46.41
9767,r015,2017,Did not report research assistantship,Matches,2,1176
9767,r016,2017,Did not report research assistantship,Match rate,2,31.27
9767,r017,Total,Reported research assistantship,Matches,2,10904
9767,r018,Total,Reported research assistantship,Match rate,2,42.13
9767,r019,Total,Did not report research assistantship,Matches,2,4065
9767,r020,Total,Did not report research assistantship,Match rate,2,26.27
