table_id,row_id,time_period,public_level_1,public_level_2,public_hierarchy_depth,value
9789,r001,2000,Public,Number,2,11891450
9789,r002,2000,Private nonprofit,Number,2,3137108
9789,r003,2000,Private for profit,Number,2,672851
9789,r004,2002,Public,Number,2,12883071
9789,r005,2002,Public,Percent change,2,8.3
9789,r006,2002,Private nonprofit,Number,2,3299094
9789,r007,2002,Private nonprofit,Percent change,2,5.2
9789,r008,2002,Private for profit,Number,2,852862
9789,r009,2002,Private for profit,Percent change,2,26.8
9789,r010,2004,Public,Number,2,13081358
9789,r011,2004,Public,Percent change,2,1.5
9789,r012,2004,Private nonprofit,Number,2,3440559
9789,r013,2004,Private nonprofit,Percent change,2,4.3
9789,r014,2004,Private for profit,Number,2,1188881
9789,r015,2004,Private for profit,Percent change,2,39.4
9789,r016,2006,Public,Number,2,13281664
9789,r017,2006,Public,Percent change,2,1.5
9789,r018,2006,Private nonprofit,Number,2,3543455
9789,r019,2006,Private nonprofit,Percent change,2,3.0
9789,r020,2006,Private for profit,Number,2,1380355
9789,r021,2006,Private for profit,Percent change,2,16.1
9789,r022,2008,Public,Number,2,14092109
9789,r023,2008,Public,Percent change,2,6.1
9789,r024,2008,Private nonprofit,Number,2,3684723
9789,r025,2008,Private nonprofit,Percent change,2,4.0
9789,r026,2008,Private for profit,Number,2,1797563
9789,r027,2008,Private for profit,Percent change,2,30.2
9789,r028,2010,Public,Number,2,15280273
9789,r029,2010,Public,Percent change,2,8.4
9789,r030,2010,Private nonprofit,Number,2,3881906
9789,r031,2010,Private nonprofit,Percent change,2,5.4
9789,r032,2010,Private for profit,Number,2,2425945
9789,r033,2010,Private for profit,Percent change,2,35.0
9789,r034,2012,Public,Number,2,14996482
9789,r035,2012,Public,Percent change,2,-1.9
9789,r036,2012,Private nonprofit,Number,2,3975542
9789,r037,2012,Private nonprofit,Percent change,2,2.4
9789,r038,2012,Private for profit,Number,2,2175031
9789,r039,2012,Private for profit,Percent change,2,-10.3
9789,r040,2014,Public,Number,2,14765873
9789,r041,2014,Public,Percent change,2,-1.5
9789,r042,2014,Private nonprofit,Number,2,4015094
9789,r043,2014,Private nonprofit,Percent change,2,1.0
9789,r044,2014,Private for profit,Number,2,1882497
9789,r045,2014,Private for profit,Percent change,2,-13.4
9789,r046,2016,Public,Number,2,14692988
9789,r047,2016,Public,Percent change,2,-0.5
9789,r048,2016,Private nonprofit,Number,2,4095815
9789,r049,2016,Private nonprofit,Percent change,2,2.0
9789,r050,2016,Private for profit,Number,2,1435266
9789,r051,2016,Private for profit,Percent change,2,-23.8
9789,r052,2018,Public,Number,2,14639681
9789,r053,2018,Public,Percent change,2,-0.4
9789,r054,2018,Private nonprofit,Number,2,4147604
9789,r055,2018,Private nonprofit,Percent change,2,1.3
9789,r056,2018,Private for profit,Number,2,1221149
9789,r057,2018,Private for profit,Percent change,2,-14.9
9789,r058,2020,Public,Number,2,13974219
9789,r059,2020,Public,Percent change,2,-4.5
9789,r060,2020,Private nonprofit,Number,2,4113506
9789,r061,2020,Private nonprofit,Percent change,2,-0.8
9789,r062,2020,Private for profit,Number,2,1268086
9789,r063,2020,Private for profit,Percent change,2,3.8
9789,r064,2021,Public,Number,2,13655528
9789,r065,2021,Public,Percent change,2,-2.3
9789,r066,2021,Private nonprofit,Number,2,4126289
9789,r067,2021,Private nonprofit,Percent change,2,0.3
9789,r068,2021,Private for profit,Number,2,1254795
9789,r069,2021,Private for profit,Percent change,2,-1.0
