table_id,row_id,sex_and_financial_resource_full_path,sex_and_financial_resource_level_1,sex_and_financial_resource_level_2,sex_and_financial_resource_level_3,sex_and_financial_resource_level_4,sex_and_financial_resource_hierarchy_depth,field_all_fields_number_,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
980,r001,Male doctorate recipients,Male doctorate recipients,,,,1,,,,,,,,,,
980,r002,Male doctorate recipients -> Unduplicated total<sup>c</sup>,Male doctorate recipients,Unduplicated total<sup>c</sup>,,,2,26146,100.0,19.6,14.2,9.9,12.3,25.5,5.1,8.8,4.6
980,r003,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,16317,100.0,21.1,13.5,9.1,13.9,22.7,3.6,11.4,4.7
980,r004,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant<sup>d</sup>,Male doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant<sup>d</sup>,,3,4365,100.0,19.0,9.8,5.2,22.5,12.6,3.7,22.2,4.9
980,r005,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
980,r006,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,17791,100.0,14.7,17.8,12.1,14.3,23.0,2.7,10.9,4.6
980,r007,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,17901,100.0,18.4,18.2,10.5,10.9,31.3,2.5,4.3,3.9
980,r008,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,1996,100.0,13.7,8.5,7.9,20.3,17.9,10.3,15.4,6.0
980,r009,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,993,100.0,59.5,8.4,3.8,11.7,12.8,0.8,1.8,1.2
980,r010,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Internship or clinical residency,Male doctorate recipients,Unduplicated total<sup>c</sup>,Internship or clinical residency,,3,2314,100.0,7.1,6.7,23.7,17.2,39.1,1.9,2.2,2.0
980,r011,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Loan (any source),Male doctorate recipients,Unduplicated total<sup>c</sup>,Loan (any source),,3,5811,100.0,17.3,8.3,5.5,21.2,13.4,10.9,16.5,6.9
980,r012,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,,3,,,,,,,,,,
980,r013,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Savings,4,11856,100.0,18.1,10.7,8.7,15.7,22.0,7.2,11.4,6.3
980,r014,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,4,6724,100.0,15.5,7.7,7.9,18.9,15.6,11.0,17.2,6.1
980,r015,"Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Male doctorate recipients,Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,3,8721,100.0,18.6,10.6,8.5,15.8,21.3,6.3,12.5,6.4
980,r016,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Male doctorate recipients,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,3,2622,100.0,17.4,8.6,9.5,11.8,22.3,15.0,8.0,7.3
980,r017,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Male doctorate recipients,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,3,1945,100.0,17.2,8.9,10.5,13.8,31.5,4.8,8.5,4.8
980,r018,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Other ,Male doctorate recipients,Unduplicated total<sup>c</sup>,Other ,,3,47,100.0,19.1,6.4,6.4,19.1,12.8,17.0,12.8,6.4
980,r019,Female doctorate recipients,Female doctorate recipients,,,,1,,,,,,,,,,
980,r020,Female doctorate recipients -> Unduplicated total<sup>e</sup>,Female doctorate recipients,Unduplicated total<sup>e</sup>,,,2,22184,100.0,28.4,8.2,3.7,20.6,9.2,12.8,10.7,6.4
980,r021,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Fellowship or scholarship,Female doctorate recipients,Unduplicated total<sup>e</sup>,Fellowship or scholarship,,3,14870,100.0,29.6,8.3,3.4,20.9,9.1,9.1,13.4,6.2
980,r022,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Dissertation grant<sup>d</sup>,Female doctorate recipients,Unduplicated total<sup>e</sup>,Dissertation grant<sup>d</sup>,,3,5228,100.0,23.8,5.3,1.6,28.6,4.7,7.9,21.3,6.8
980,r023,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Assistantship,Female doctorate recipients,Unduplicated total<sup>e</sup>,Assistantship,,3,,,,,,,,,,
980,r024,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Assistantship -> Teaching,Female doctorate recipients,Unduplicated total<sup>e</sup>,Assistantship,Teaching,4,14435,100.0,22.2,11.0,4.7,24.1,9.2,7.7,14.7,6.5
980,r025,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Assistantship -> Research,Female doctorate recipients,Unduplicated total<sup>e</sup>,Assistantship,Research,4,13210,100.0,29.0,12.0,4.2,21.1,13.0,7.9,6.7,6.2
980,r026,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Assistantship -> Other,Female doctorate recipients,Unduplicated total<sup>e</sup>,Assistantship,Other,4,2265,100.0,16.2,3.8,2.1,30.4,4.7,20.2,16.8,5.7
980,r027,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Traineeship,Female doctorate recipients,Unduplicated total<sup>e</sup>,Traineeship,,3,1232,100.0,65.3,4.4,1.1,17.0,7.1,2.4,1.2,1.3
980,r028,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Internship or clinical residency,Female doctorate recipients,Unduplicated total<sup>e</sup>,Internship or clinical residency,,3,2004,100.0,10.2,5.6,8.5,52.0,11.7,6.7,3.3,2.0
980,r029,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Loan (any source),Female doctorate recipients,Unduplicated total<sup>e</sup>,Loan (any source),,3,7081,100.0,20.4,3.0,1.3,30.4,2.6,20.4,13.9,7.9
980,r030,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Personal sources,Female doctorate recipients,Unduplicated total<sup>e</sup>,Personal sources,,3,,,,,,,,,,
980,r031,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Personal sources -> Savings,Female doctorate recipients,Unduplicated total<sup>e</sup>,Personal sources,Savings,4,11560,100.0,25.3,5.8,2.7,24.3,6.5,15.7,12.3,7.5
980,r032,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Personal sources -> Other earnings during graduate school,Female doctorate recipients,Unduplicated total<sup>e</sup>,Personal sources,Other earnings during graduate school,4,7960,100.0,20.4,3.3,2.0,25.3,3.6,21.3,16.8,7.2
980,r033,"Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Spouse's, partner's, or family's earnings or savings",Female doctorate recipients,Unduplicated total<sup>e</sup>,"Spouse's, partner's, or family's earnings or savings",,3,9989,100.0,24.7,5.4,2.7,25.4,6.9,14.1,13.4,7.4
980,r034,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Employer reimbursement or assistance,Female doctorate recipients,Unduplicated total<sup>e</sup>,Employer reimbursement or assistance,,3,2611,100.0,27.8,3.6,2.8,15.0,6.7,30.3,7.1,6.9
980,r035,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Foreign (non-U.S.) support,Female doctorate recipients,Unduplicated total<sup>e</sup>,Foreign (non-U.S.) support,,3,1210,100.0,27.9,7.6,5.5,16.9,12.5,8.6,12.9,8.2
980,r036,Female doctorate recipients -> Unduplicated total<sup>e</sup> -> Other ,Female doctorate recipients,Unduplicated total<sup>e</sup>,Other ,,3,42,100.0,26.2,2.4,0.0,16.7,11.9,19.0,16.7,7.1
