table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
9852,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,855', '&nbsp;']","['8,131,847', '&nbsp;']","['9,993', '&nbsp;']","['3,659,817', '&nbsp;']","['5,861', '&nbsp;']","['4,472,030', '&nbsp;']"
9852,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['2,082', '&nbsp;']","['990,325', '&nbsp;']","['982', '&nbsp;']","['415,218', '&nbsp;']","['1,102', '&nbsp;']","['575,107', '&nbsp;']"
9852,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['71', 'r']","['19,097', 'r']","['16', '&nbsp;']","['7,987', '&nbsp;']","['54', 'r']","['11,109', 'r']"
9852,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['20', '&nbsp;']","['7,096', 'r']","['20', '&nbsp;']","['7,096', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
9852,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['138', '&nbsp;']","['0', '&nbsp;']","['138', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9852,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9852,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9852,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['2', '&nbsp;']","['739', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['739', '&nbsp;']"
9852,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['349', '&nbsp;']","['224,348', '&nbsp;']","['188', '&nbsp;']","['113,915', '&nbsp;']","['162', '&nbsp;']","['110,433', '&nbsp;']"
9852,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['151', '&nbsp;']","['178,387', '&nbsp;']","['105', '&nbsp;']","['93,401', '&nbsp;']","['44', '&nbsp;']","['84,986', '&nbsp;']"
9852,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['199', '&nbsp;']","['45,962', '&nbsp;']","['82', '&nbsp;']","['20,514', '&nbsp;']","['118', '&nbsp;']","['25,447', '&nbsp;']"
9852,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['24', '&nbsp;']","['6,700', '&nbsp;']","['10', 'r']","['2,703', 'r']","['13', '&nbsp;']","['3,997', '&nbsp;']"
9852,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['16', 'r']","['3,935', 'r']","['15', 'r']","['3,485', 'r']","['3', 'r']","['450', '&nbsp;']"
9852,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['19', 'r']","['2,240', '&nbsp;']","['0', '&nbsp;']","['591', '&nbsp;']","['18', 'r']","['1,648', 'r']"
9852,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['74', 'r']","['16,827', 'r']","['34', 'r']","['10,196', 'r']","['41', 'r']","['6,631', 'r']"
9852,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['231', '&nbsp;']","['85,202', '&nbsp;']","['127', '&nbsp;']","['34,750', '&nbsp;']","['103', '&nbsp;']","['50,452', '&nbsp;']"
9852,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['740', '&nbsp;']","['372,243', '&nbsp;']","['353', '&nbsp;']","['109,934', '&nbsp;']","['388', '&nbsp;']","['262,308', '&nbsp;']"
9852,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['182', '&nbsp;']","['124,080', '&nbsp;']","['91', '&nbsp;']","['35,134', '&nbsp;']","['90', '&nbsp;']","['88,946', 'r']"
9852,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['397', '&nbsp;']","['194,535', '&nbsp;']","['169', '&nbsp;']","['51,119', '&nbsp;']","['227', '&nbsp;']","['143,416', '&nbsp;']"
9852,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['162', '&nbsp;']","['53,628', '&nbsp;']","['95', '&nbsp;']","['23,681', '&nbsp;']","['69', '&nbsp;']","['29,947', 'r']"
9852,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['146', '&nbsp;']","['42,416', '&nbsp;']","['50', '&nbsp;']","['8,593', '&nbsp;']","['95', 'r']","['33,824', '&nbsp;']"
9852,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['78', '&nbsp;']","['36,232', '&nbsp;']","['42', '&nbsp;']","['21,551', '&nbsp;']","['37', '&nbsp;']","['14,681', '&nbsp;']"
9852,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['34', '&nbsp;']","['13,976', '&nbsp;']","['17', '&nbsp;']","['8,486', '&nbsp;']","['16', '&nbsp;']","['5,489', '&nbsp;']"
9852,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['46', '&nbsp;']","['22,257', '&nbsp;']","['25', 'r']","['13,065', 'r']","['22', '&nbsp;']","['9,192', '&nbsp;']"
9852,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['4', '&nbsp;']","['1,471', 'r']","['2', 'r']","['1,094', 'r']","['3', 'r']","['377', '&nbsp;']"
9852,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['308', '&nbsp;']","['171,640', '&nbsp;']","['120', '&nbsp;']","['93,184', 'r']","['187', '&nbsp;']","['78,456', '&nbsp;']"
