table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_hierarchy_depth,field_all_fields,field_s_e_all_s_e_fields,field_s_e_agricultural_sciences_and_natural_resources,field_s_e_biological_and_biomedical_sciences,field_s_e_computer_and_information_sciences,field_s_e_engineering,field_s_e_mathematics_and_statistics,field_s_e_multidisciplinary_and_interdisciplinary_sciences,field_s_e_physical_sciences,field_s_e_psychology,field_s_e_social_sciences,field_s_e_related,field_non_s_e
9909,r001,Total,Total,,1,302150,190760,2780,7570,95130,47900,11770,11710,2050,2240,9610,18180,93210
9909,r002,Total -> India,Total,India,2,145380,113300,580,2810,72020,27040,2520,6800,330,330,870,9510,22570
9909,r003,Total -> China,Total,China,2,71370,43050,570,2430,13190,12140,6720,2350,550,740,4380,2510,25820
9909,r004,Total -> Taiwan,Total,Taiwan,2,6010,3230,30,150,1180,1150,260,210,40,70,140,350,2430
9909,r005,Total -> Nigeria,Total,Nigeria,2,6070,2870,170,310,860,570,190,160,250,60,300,710,2490
9909,r006,Total -> Nepal,Total,Nepal,2,3510,2390,210,180,990,560,90,110,70,20,160,220,900
9909,r007,Total -> Bangladesh,Total,Bangladesh,2,3690,2340,60,110,880,700,120,120,110,10,230,220,1130
9909,r008,Total -> South Korea,Total,South Korea,2,6030,1910,50,100,530,480,140,190,30,70,330,400,3720
9909,r009,Total -> Canada,Total,Canada,2,4260,1230,60,190,230,230,100,110,30,120,170,590,2440
9909,r010,Total -> Ghana,Total,Ghana,2,2260,1200,70,90,180,170,250,60,110,30,240,170,880
9909,r011,Total -> Pakistan,Total,Pakistan,2,2330,1160,30,50,480,290,60,100,20,30,110,200,960
9909,r012,Total -> Saudi Arabia,Total,Saudi Arabia,2,2770,1110,30,80,260,390,80,50,50,40,150,500,1150
9909,r013,Total -> Vietnam,Total,Vietnam,2,1920,780,10,40,290,170,110,70,20,20,40,80,1060
9909,r014,Total -> Brazil,Total,Brazil,2,2800,680,100,60,140,130,30,60,20,40,100,110,2000
9909,r015,Total -> Iran,Total,Iran,2,1470,670,20,60,140,250,30,70,40,10,40,130,680
9909,r016,Total -> Colombia,Total,Colombia,2,2060,660,50,50,100,190,50,60,40,30,110,100,1300
9909,r017,Total -> Mexico,Total,Mexico,2,2040,640,60,50,60,190,40,70,20,30,110,100,1300
9909,r018,Total -> France,Total,France,2,1560,600,10,20,70,310,60,40,10,10,70,50,910
9909,r019,Total -> Japan,Total,Japan,2,1820,530,20,30,90,90,20,50,10,30,190,110,1180
9909,r020,Total -> Turkey,Total,Turkey,2,1150,500,10,20,230,120,20,30,10,20,40,40,620
9909,r021,Total -> United Kingdom,Total,United Kingdom,2,1680,430,20,40,80,40,30,40,10,40,130,110,1140
9909,r022,Total -> Other locations,Total,Other locations,2,31990,11470,630,700,3140,2680,850,970,280,500,1720,1980,18540
